Прайс-лист на 18 июня 2018 г.;;;;;;;;;
Курс 61;;;;;;;;;
Ценовая группа;;ВАШ ЗАКАЗ;Розница;1 Оптовая У.Е.;;;;;
Артикул;Номенклатура;;руб.;У.Е;;;;;
;;;Включает НДС;Включает НДС;;;;;
;;;Цена;Цена;;;;;
;;;;;;;;;
;Товары;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print ;;;;;;;;
2771111150646.0;Комплект чернил ОСР для CAN 510/511+RSL  (BKP 44,C/M/Y712,RSL), 25 g x5;;850.0;8.55;;;;;C7O
2771111150790.0;Комплект чернил ОСР для CAN 6340 new (BKP235,Grey130,BK/M/Y135,C712), 25 g x6;;1630.0;15.66;;;;;C7O
2771111150707.0;Комплект чернил ОСР для CAN 6340 new SAFE SET (BK35,Grey130,BK/M/Y135,C712), 25 g x6;;1410.0;13.54;;;;;C7O
2771111150691.0;Комплект чернил ОСР для CAN 7240 new (BKP235,BK/M/Y135,C712), 25 g x5;;1410.0;13.48;;;;;C7O
2771111150684.0;Комплект чернил ОСР для CAN 7240 new SAFE SET (BK 35,BK/M/Y135,C712), 25 g x5;;1190.0;11.37;;;;;C7O
2772905120166.0;Комплект чернил ОСР для CAN BCI-6 (BK68,C51,M49,Y47,CL52,ML50,G10,R10), 25 g x8;;1240.0;12.61;;;;;C7O
2772905120203.0;Комплект чернил ОСР для CAN BCI-6 (BK68,C51,M49,Y47), 25 g x4;;650.0;6.63;;;;;C7O
2772905120029.0;Комплект чернил ОСР для CAN CL-40/510,41/511 (BKP44,C/M/Y795), 25 g x4;;850.0;8.57;;;;;C7O
2772905120296.0;Комплект чернил ОСР для CAN CL-40/510,41/511+RSL (BKP44,C/M/Y795,RSL), 25 g x5;;930.0;9.34;;;;;C7O
2772905120036.0;Комплект чернил ОСР для CAN CL-40/510,41/511SAFE SET (BKP35,C/M/Y795), 25 g x4;;660.0;6.67;;;;;C7O
2771111150714.0;Комплект чернил ОСР для CAN CLI-42 (BK157/158/159,C/M/Y158,CL/ML 159), 25 g x8;;1190.0;11.56;;;;;C7O
2772905120227.0;Комплект чернил ОСР для CAN CLI-8 (BK797,C/M/Y122,CL/ML 125, R122, G 122), 25 g x8;;1350.0;13.58;;;;;C7O
2772905120210.0;Комплект чернил ОСР для CAN CLI-8 (BK797,C/M/Y122,CL/ML 125), 25 g x6;;1020.0;10.24;;;;;C7O
2770712150024.0;Комплект чернил ОСР для CAN MG5740/6840, PGBK 470/471BK/C/M/Y (BKP 44, BK 153, С/M/Y 153), 25 g x5;;1560.0;15.69;;;;;C7O
2770712150048.0;Комплект чернил ОСР для CAN MG7740, TS8040, TS9040, PGBK 470/471BK/C/M/Y/GY (BKP 44, BK 153, С/M/Y/GY 153), 25 g x6;;1870.0;18.91;;;;;C7O
2772905120791.0;Комплект чернил ОСР для CAN MP620/MP630,MP980/MP990 ECOSETNONSTOP(BK35,BK123/124,C795,M/Y144), 25gx6;;1240.0;12.35;;;;;C7O
2772905120258.0;Комплект чернил ОСР для CAN new 4200 (BKP 44, BK 797, C 133, M/Y 122) , 25 g x5;;1160.0;11.68;;;;;C7O
2772905120241.0;Комплект чернил ОСР для CAN new 4200 SAFE SET (BKP 35, BK 797, C 133, M/Y 122) , 25 g x5;;970.0;9.79;;;;;C7O
2772905120234.0;Комплект чернил ОСР для CAN new 4200+RSL(BKP 44, BK 797, C 133, M/Y 122,RSL) , 25 g x6;;1240.0;12.46;;;;;C7O
2772905120289.0;Комплект чернил ОСР для CAN new MP620/MP630, MP980/MP990 (BKP44, BK123, BK124, C154, M/Y144), 25g x6;;1590.0;15.9;;;;;C7O
2772905120272.0;Комплект чернил ОСР для CAN new MP620/MP630, MP980/MP990 SAFESET(BK35,BK123,BK124,C154,M/Y144).25gx6;;1400.0;14.02;;;;;C7O
2772905120265.0;Комплект чернил ОСР для CAN new MP620/MP630,MP980/MP990+RSL(BKP44,BK123,BK124,C154,M/Y144,RSL),25gx7;;1650.0;16.69;;;;;C7O
2771111151032.0;Чернила OCP 230 BKP для CAN Maxify PGI-1400/2400 XL, 25 gr;;200.0;2.15;;;;;C7O
2771111151049.0;Чернила OCP 230 CP для CAN Maxify PGI-1400/2400 XL, 25 gr;;390.0;4.41;;;;;C7O
