Прайс-лист на 18 июня 2018 г.;;;;;;;;;
Курс 61;;;;;;;;;
Ценовая группа;;ВАШ ЗАКАЗ;Розница;1 Оптовая У.Е.;;;;;
Артикул;Номенклатура;;руб.;У.Е;;;;;
;;;Включает НДС;Включает НДС;;;;;
;;;Цена;Цена;;;;;
;;;;;;;;;
;Товары;;;;;;;;
;Набор для заправки BURSTEN Plug-n-Print ;;;;;;;;
2770902150742.0;Комплект чернил ОСР для CAN 510/511 SAFE SET (BKP 35,C/M/Y712), 1 kg x4;;7700.0;101.09;;;;;C7YO
2770902151008.0;Комплект чернил ОСР для CAN 510/511+RSL  (BKP 44,C/M/Y712,RSL), 1kg x5;;10450.0;137.27;;;;;C7YO
2770902151169.0;Комплект чернил ОСР для CAN 6340 new (BKP235,Grey130,BK/M/Y135,C712), 1 kg x6;;22210.0;291.91;;;;;C7YO
2770902151152.0;Комплект чернил ОСР для CAN 6340 new SAFE SET (BK35,Grey130,BK/M/Y135,C712), 1 kg x6;;19170.0;251.73;;;;;C7YO
2770902151145.0;Комплект чернил ОСР для CAN 7240 new (BKP235,BK/M/Y135,C712), 1 kg x5;;19160.0;251.54;;;;;C7YO
2770902151138.0;Комплект чернил ОСР для CAN 7240 new SAFE SET (BK 35,BK/M/Y135,C712), 1 kg x5;;16100.0;211.36;;;;;C7YO
2770902150162.0;Комплект чернил ОСР для CAN BCI-6 (BK68,C51,M49,Y47,CL52,ML50,G10,R10), 1 kg x8;;16040.0;210.67;;;;;C7YO
2770902150209.0;Комплект чернил ОСР для CAN BCI-6 (BK68,C51,M49,Y47), 1 kg x4;;8990.0;118.04;;;;;C7YO
2770902150025.0;Комплект чернил ОСР для CAN CL-40/510,41/511 (BKP44,C/M/Y795), 1 kg x4;;10340.0;135.76;;;;;C7YO
2770902150292.0;Комплект чернил ОСР для CAN CL-40/510,41/511+RSL (BKP44,C/M/Y795,RSL), 1 kg x5;;10820.0;142.0;;;;;C7YO
2770902150032.0;Комплект чернил ОСР для CAN CL-40/510,41/511SAFE SET (BKP35,C/M/Y795), 1 kg x4;;8060.0;94.02;;;;;C7YO
2770902151015.0;Комплект чернил ОСР для CAN CLI-42 (BK157/158/159,C/M/Y158,CL/ML 159), 1 kg x8;;15690.0;206.12;;;;;C7YO
2770902150223.0;Комплект чернил ОСР для CAN CLI-8 (BK797,C/M/Y122,CL/ML 125, R122, G 122), 1 kg x8;;16280.0;213.88;;;;;C7YO
2770902150216.0;Комплект чернил ОСР для CAN CLI-8 (BK797,C/M/Y122,CL/ML 125), 1 kg x6;;12300.0;161.48;;;;;C7YO
2770902151183.0;Комплект чернил ОСР для CAN G1400/2400/3400 (BKP230, C/M/Y167), 1 kg x4;;7530.0;102.39;;;;;C7YO
2770902150957.0;Комплект чернил ОСР для CAN MG5740/6840, PGBK 470/471BK/C/M/Y (BKP 44, BK 153, С/M/Y 153), 1 kg x5;;19600.0;274.31;;;;;C7YO
2770902151190.0;Комплект чернил ОСР для CAN MG7740, TS8040, TS9040, PGBK 470/471BK/C/M/Y/GY (BKP 44, BK 153, С/M/Y/GY 153), 1 kg x6;;23670.0;332.29;;;;;C7YO
2770902150773.0;Комплект чернил ОСР для CAN MP620/MP630, MP980/MP990 ECO SET NON STOP(PGI-521/CLI-521), 1 kg x6;;14840.0;194.98;;;;;C7YO
2770902150254.0;Комплект чернил ОСР для CAN new 4200 (BKP 44, BK 797, C 133, M/Y 122) , 1 kg x5;;14050.0;184.57;;;;;C7YO
2770902150247.0;Комплект чернил ОСР для CAN new 4200 SAFE SET (BKP 35, BK 797, C 133, M/Y 122) , 1 kg x5;;11770.0;154.61;;;;;C7YO
2770902150230.0;Комплект чернил ОСР для CAN new 4200+RSL(BKP 44, BK 797, C 133, M/Y 122,RSL) , 1 kg x6;;14810.0;190.8;;;;;C7YO
2770902150285.0;Комплект чернил ОСР для CAN new MP620/MP630, MP980/MP990 (PGI-521/CLI-521), 1 kg x6;;19090.0;250.83;;;;;C7YO
2770902150278.0;Комплект чернил ОСР для CAN new MP620/MP630, MP980/MP990 SAFE SET (PGI-521/CLI-521), 1 kg x6;;16810.0;220.87;;;;;C7YO
2770902150261.0;Комплект чернил ОСР для CAN new MP620/MP630,MP980/MP990+RSL (PGI-521/CLI-521), 1 kg x7;;19570.0;257.06;;;;;C7YO
2772411100492.0;Чернила OCP 230 BKP для CAN Maxify PGI-1400/2400 XL, 1 kg;;2960.0;38.31;;;;;C7YO
2772411100621.0;Чернила OCP 230 CP для CAN Maxify PGI-1400/2400 XL, 1 kg;;7900.0;91.87;;;;;C7YO
2772411100638.0;Чернила OCP 230 MP для CAN Maxify PGI-1400/2400 XL, 1 kg;;7900.0;91.87;;;;;C7YO
2772411100645.0;Чернила OCP 230 YP для CAN Maxify PGI-1400/2400 XL, 1 kg;;7900.0;91.87;;;;;C7YO
2772411100263.0;Чернила ОСР 10 G для картриджей CAN BCI-6, 1 kg;;1940.0;24.37;;;;;C7YO
2772411100294.0;Чернила ОСР 10 R для картриджей CAN BCI-6, 1 kg;;1940.0;24.37;;;;;C7YO
2772411100164.0;Чернила ОСР 122 C для картриджей CAN CLI-8, 1 kg;;2080.0;26.2;;;;;C7YO
2772411100065.0;Чернила ОСР 122 G для картриджей CAN CLI-8, 1 kg;;2080.0;26.2;;;;;C7YO
2772411100171.0;Чернила ОСР 122 M для картриджей CAN CLI-8, 1 kg;;2080.0;26.2;;;;;C7YO
2772411100058.0;Чернила ОСР 122 R для картриджей CAN CLI-8, 1 kg;;2080.0;26.2;;;;;C7YO
2772411100188.0;Чернила ОСР 122 Y для картриджей CAN CLI-8, 1 kg;;2080.0;26.2;;;;;C7YO
2772411100133.0;Чернила ОСР 123 BK Grey для картриджей CAN CLI-521/426, 1 kg;;3560.0;44.92;;;;;C7YO
2772411100126.0;Чернила ОСР 124 BK Photo  Black для картриджей CAN CLI-521/425, 1 kg;;3560.0;44.92;;;;;C7YO
2772411100102.0;Чернила ОСР 125 CL для картриджей CAN CLI-8, 1 kg;;1940.0;24.37;;;;;C7YO
2772411100119.0;Чернила ОСР 125 ML для картриджей CAN CLI-8, 1 kg;;1940.0;24.37;;;;;C7YO
2772411100485.0;Чернила ОСР 130 BK Grey для картриджей CAN CLI-451GY, 1 kg;;3170.0;40.18;;;;;C7YO
2772411100355.0;Чернила ОСР 133 C для картриджей CAN CLI-8, 1 kg;;3300.0;41.88;;;;;C7YO
2772411100447.0;Чернила ОСР 135 BK для картриджей CAN CLI-451BK, 1 kg;;3500.0;44.23;;;;;C7YO
2772411100461.0;Чернила ОСР 135 M для картриджей CAN CLI-451M, 1 kg;;4580.0;57.98;;;;;C7YO
2772411100478.0;Чернила ОСР 135 Y для картриджей CAN CLI-451Y, 1 kg;;4580.0;57.98;;;;;C7YO
2772411100652.0;Чернила ОСР 136 C для картриджей CAN CLI-445/446, 1 kg;;1630.0;20.45;;;;;C7YO
2772411100669.0;Чернила ОСР 136 M для картриджей CAN CLI-445/446, 1 kg;;1630.0;20.45;;;;;C7YO
2772411100676.0;Чернила ОСР 136 Y для картриджей CAN CLI-445/446, 1 kg;;1630.0;20.45;;;;;C7YO
2772411100072.0;Чернила ОСР 144 M для картриджей CAN CLI-521/426, 1 kg;;2080.0;26.2;;;;;C7YO
2772411100096.0;Чернила ОСР 144 Y для картриджей CAN CLI-521/426, 1 kg;;2080.0;26.2;;;;;C7YO
2772411100584.0;Чернила ОСР 153 BK  для картриджей CAN CLI-471BK, 1 kg;;3280.0;44.23;;;;;C7YO
2772411100591.0;Чернила ОСР 153 C  для картриджей CAN CLI-471C, 1 kg;;4290.0;57.98;;;;;C7YO
2772411100683.0;Чернила ОСР 153 GY для картриджей CAN CLI-471GY, 1 kg;;4290.0;57.98;;;;;C7YO
2772411100607.0;Чернила ОСР 153 M  для картриджей CAN CLI-471M, 1 kg;;4290.0;57.98;;;;;C7YO
2772411100614.0;Чернила ОСР 153 Y  для картриджей CAN CLI-471Y, 1 kg;;4290.0;57.98;;;;;C7YO
2772411100362.0;Чернила ОСР 154 C для картриджей CAN CLI-221/426/521/821, 1 kg;;4150.0;52.42;;;;;C7YO
2772411100508.0;Чернила ОСР 157 BK для картриджей CAN CL-42GY, 1 kg;;1820.0;22.85;;;;;C7YO
2772411100515.0;Чернила ОСР 158 BK для картриджей CAN CL-42LGY, 1 kg;;1820.0;22.85;;;;;C7YO
2772411100522.0;Чернила ОСР 158 C для картриджей CAN CL-42C, 1 kg;;1820.0;22.85;;;;;C7YO
2772411100539.0;Чернила ОСР 158 M для картриджей CAN CL-42M, 1 kg;;1820.0;22.85;;;;;C7YO
2772411100546.0;Чернила ОСР 158 Y для картриджей CAN CL-42Y, 1 kg;;1820.0;22.85;;;;;C7YO
2772411100553.0;Чернила ОСР 159 BK для картриджей CAN CL-42BK, 1 kg;;3660.0;46.26;;;;;C7YO
2772411100560.0;Чернила ОСР 159 CL для картриджей CAN CL-42PC, 1 kg;;1820.0;22.85;;;;;C7YO
2772411100577.0;Чернила ОСР 159 ML для картриджей CAN CL-42PM, 1 kg;;1820.0;22.85;;;;;C7YO
2772411100690.0;Чернила ОСР 167 C  для картриджей CAN GI-490C, 1 kg;;1720.0;21.36;;;;;C7YO
2772411100706.0;Чернила ОСР 167 M  для картриджей CAN GI-490M, 1 kg;;1720.0;21.36;;;;;C7YO
2772411100713.0;Чернила ОСР 167 Y  для картриджей CAN GI-490Y, 1 kg;;1720.0;21.36;;;;;C7YO
2772411100430.0;Чернила ОСР 235 BKP Pigment для картриджей CAN PGI-450Bk, 1 kg;;5270.0;66.59;;;;;C7YO
2772411100041.0;Чернила ОСР 44 BKP  для картриджей CAN PGI-5/521/425,PG-37/40/50/510/512, 1 kg;;4450.0;56.16;;;;;C7YO
2772411100218.0;Чернила ОСР 47 Y для картриджей CAN BCI-6, 1 kg;;1940.0;24.37;;;;;C7YO
2772411100225.0;Чернила ОСР 49 M для картриджей CAN BCI-6, 1 kg;;1940.0;24.37;;;;;C7YO
2772411100201.0;Чернила ОСР 68 BK для картриджей CAN BCI-21/BCI-6, 1 kg;;3560.0;44.92;;;;;C7YO
2772411100379.0;Чернила ОСР 710 C  для картриджей CAN CL-441 Cyan, 1 kg;;1980.0;24.97;;;;;C7YO
2772411100393.0;Чернила ОСР 710 Y  для картриджей CAN CL-441 Yelllow, 1 kg;;1980.0;24.97;;;;;C7YO
2772411100386.0;Чернила ОСР 710 М для картриджей CAN CL-441 Magenta, 1 kg;;1980.0;24.97;;;;;C7YO
2772411100409.0;Чернила ОСР 712 C  для картриджей CAN CL-511/513 Cyan, 1 kg;;1980.0;24.97;;;;;C7YO
2772411100416.0;Чернила ОСР 712 M для картриджей CAN CL-511/513 Magenta, 1 kg;;1980.0;24.97;;;;;C7YO
2772411100423.0;Чернила ОСР 712 Y для картриджей CAN CL-511/513 Yellow, 1 kg;;1980.0;24.97;;;;;C7YO
2772411100157.0;Чернила ОСР 795 C  для картриджей CAN CL-41, 1 kg;;2110.0;26.53;;;;;C7YO
2772411100249.0;Чернила ОСР 795 M  для картриджей CAN CL-41,1 kg;;2110.0;26.53;;;;;C7YO
2772411100256.0;Чернила ОСР 795 Y  для картриджей CAN CL-41, 1 kg;;2110.0;26.53;;;;;C7YO
2772411100232.0;Чернила ОСР 797 BK  для картриджей CAN CL-52, 1 kg;;2710.0;34.11;;;;;C7YO
;OCP для EPSON  1 kg;;;;;;;;
2770902150841.0;Комплект чернил ОСР для EPS (ВКP115, C/M/Y140), 1 kg x4;;12180.0;160.04;;;;;7YEO
2770902150780.0;Комплект чернил ОСР для EPS (ВКP115, C142, M/Y140) , 1 kg x4;;9890.0;129.97;;;;;7YEO
2770902150322.0;Комплект чернил ОСР для EPS Clar (340), повышенной светостойкости + RSL, 1 kg x 7;;16140.0;212.09;;;;;7YEO
2770902150339.0;Комплект чернил ОСР для EPS Clar (340), повышенной светостойкости, 1 kg x 6;;15670.0;205.76;;;;;7YEO
2770902150315.0;Комплект чернил ОСР для EPS Clar (ВК140(340),С142,М/Y140,ML/CL141), 1 kg x6;;13380.0;175.71;;;;;7YEO
2770902150308.0;Комплект чернил ОСР для EPS Clar+RSL (ВК140(340),С142,М/Y140,ML/CL141,RSL), 1 kg x7;;13850.0;181.93;;;;;7YEO
2770902150377.0;Комплект чернил ОСР для EPS Dura (ВКP/CP115,MP/YP102), 1 kg x4;;16600.0;218.12;;;;;7YEO
2770902150360.0;Комплект чернил ОСР для EPS Dura RS STABLE (ВКP110, CP115,MP/YP102), 1 kg x4;;16380.0;215.19;;;;;7YEO
2770902150353.0;Комплект чернил ОСР для EPS Dura RS STABLE+RSL (ВКP110, CP115,MP/YP102,RSL), 1 kg x5;;16860.0;221.42;;;;;7YEO
2770902150346.0;Комплект чернил ОСР для EPS Dura+RSL (ВКP/CP115,MP/YP102,RSL), 1 kg x5;;17080.0;224.35;;;;;7YEO
2770902150414.0;Комплект чернил ОСР для EPS L100/L200 (ВК/C/M/Y155), 1 kg x4;;8160.0;107.02;;;;;7YEO
2770902151282.0;Комплект чернил ОСР для EPS L605, L655, L1455 (ВКP115, C/M/Y155), 1 kg x4;;9240.0;121.41;;;;;7YEO
2770902150384.0;Комплект чернил ОСР для EPS L800 (ВК/C/M/Y155, LC/LM156), 1 kg x6;;10450.0;151.06;;;;;7YEO
2770902150421.0;Комплект чернил ОСР для EPS R1900/R2000 (EGO,BKP110/111,CP110,YP116,RP110,MP110,OP110), 1 kg x8;;32860.0;431.83;;;;;7YEO
2770902150445.0;Комплект чернил ОСР для EPS R200 (ВК73,С76,CL77,М72,ML73,Y61), 1 kg x6;;13000.0;170.71;;;;;7YEO
2770902150407.0;Комплект чернил ОСР для EPS R2100/R2200(ВКP114/115/201,СP115,YP102,MP117,MPL/CPL118), 1 kg x8;;31860.0;418.59;;;;;7YEO
2770902150391.0;Комплект чернил ОСР для EPS R2100/R2200+RSL(ВКP114/115/201,СP115,YP102,MP117,MPL/CPL118,RSL),1 kg x9;;32330.0;424.82;;;;;7YEO
2770902150469.0;Комплект чернил ОСР для EPS R2400 (BKP202/203/201/200,CP200,CPL201,YP200,MP200,MPL201), 1 kg x9;;42280.0;555.58;;;;;7YEO
2770902150452.0;Комплект чернил ОСР для EPS R2400+RSL(ВКP200/201/202/203,СP/MP/YP200,MPL/CPL201,RSL), 1 kg x10;;42760.0;561.81;;;;;7YEO
2770902150483.0;Комплект чернил ОСР для EPS R800/R1800 (EGO,ВКP110/111,СP/MP/VP/RP110, YP116), 1 kg x8;;32270.0;423.97;;;;;7YEO
2770902150476.0;Комплект чернил ОСР для EPS R800/R1800+RSL(EGO,ВКP110/111,СP/MP/VP/RP110,YP116,RSL),1 kg x9;;32740.0;430.2;;;;;7YEO
2770902150834.0;Комплект чернил ОСР для EPS XP600 (ВКP115, BK/C/M/Y140), повышенной светостойкости, 1 kg х5;;16170.0;212.46;;;;;7YEO
2770902150933.0;Комплект чернил ОСР для EPS XP600 (ВКP115, C142,BK/M/Y140), 1 kg x5;;13890.0;182.38;;;;;7YEO
2771908100106.0;Чернила ОСР 102 MP для картриджей EPS Dura, 1 kg;;3610.0;45.57;;;;;7YEO
2771908100113.0;Чернила ОСР 102 YP для картриджей EPS Dura, 1 kg;;4640.0;58.61;;;;;7YEO
2771908100137.0;Чернила ОСР 110 BKP для картриджей EPS T0541/T0871 (R800/1800/1900/2000), 1 kg;;4150.0;52.41;;;;;7YEO
2771908100151.0;Чернила ОСР 110 CP для картриджей EPS T0542/T0872 (R800/1800/1900/2000), 1 kg;;4150.0;52.41;;;;;7YEO
2771908100182.0;Чернила ОСР 110 MP для картриджей EPS T0543/T0873 (R800/1800/1900/2000), 1 kg;;4150.0;52.41;;;;;7YEO
2771908100434.0;Чернила ОСР 110 OP для картриджей EPS T0879 (R1900/2000), 1 kg;;4480.0;56.6;;;;;7YEO
2771908100175.0;Чернила ОСР 110 RP для картриджей EPS T0547/T0877 (R800/1800/1900/2000), 1 kg;;4480.0;56.6;;;;;7YEO
2771908100021.0;Чернила ОСР 110 VP для картриджей EPS T0549 (R800/1800), 1 kg;;3870.0;48.74;;;;;7YEO
2771908100144.0;Чернила ОСР 111 BKP для картриджей EPS T0548/T0878 (R800/1800/1900/2000), 1 kg;;4480.0;56.6;;;;;7YEO
2771908100281.0;Чернила ОСР 114 BKP для картриджей EPS T0341, 1 kg;;4150.0;52.42;;;;;7YEO
2771908100120.0;Чернила ОСР 115 BKP для картриджей EPS Dura, 1 kg;;4370.0;55.34;;;;;7YEO
2771908100359.0;Чернила ОСР 115 BKP для картриджей EPS T0348 (2100/2200/), 1 kg;;3980.0;50.32;;;;;7YEO
2771908100090.0;Чернила ОСР 115 CP для картриджей EPS Dura, 1 kg;;4640.0;58.61;;;;;7YEO
2771908100168.0;Чернила ОСР 116 YP для картриджей EPS, 1 kg;;4150.0;52.41;;;;;7YEO
2771908100304.0;Чернила ОСР 117 MP для картриджей EPS T0343, 1 kg;;4150.0;52.42;;;;;7YEO
2771908100328.0;Чернила ОСР 118 CPL для картриджей EPS T0345 (2100/2200), 1 kg;;3870.0;48.74;;;;;7YEO
2771908100335.0;Чернила ОСР 118 MPL для картриджей EPS T0346 (2100/2200),1 kg;;3870.0;48.74;;;;;7YEO
2771908100038.0;Чернила ОСР 140 C Light-stable для картриджей EPS Clar, 1 kg;;4140.0;52.28;;;;;7YEO
2771908100045.0;Чернила ОСР 140 M для EPS Clar, 1 kg ;;2080.0;26.2;;;;;7YEO
2771908100052.0;Чернила ОСР 140 Y для EPS Clar, 1 kg ;;2080.0;26.2;;;;;7YEO
2771908100427.0;Чернила ОСР 140 ВК (340 edition) для EPS Clar, 1 kg ;;4150.0;52.42;;;;;7YEO
2771908100076.0;Чернила ОСР 141 CL для картриджей EPS Clar, 1 kg;;1940.0;24.33;;;;;7YEO
2771908100083.0;Чернила ОСР 141 ML для картриджей EPS Clar, 1 kg;;1940.0;24.33;;;;;7YEO
2771908100441.0;Чернила ОСР 142 С для EPS Clar, 1 kg ;;1760.0;22.21;;;;;7YEO
2771908100489.0;Чернила ОСР 155 BK  для картриджей EPS принтеров L800, 1 kg;;2960.0;40.93;;;;;7YEO
2771908100458.0;Чернила ОСР 155 C для картриджей EPS принтеров L800, 1 kg;;1560.0;22.02;;;;;7YEO
2771908100465.0;Чернила ОСР 155 M  для картриджей EPS принтеров L800, 1 kg;;1560.0;22.02;;;;;7YEO
2771908100472.0;Чернила ОСР 155 Y для картриджей EPS принтеров L800, 1 kg;;1560.0;22.02;;;;;7YEO
2771908100496.0;Чернила ОСР 156 CL для картриджей EPS принтеров L800, 1 kg;;1560.0;22.02;;;;;7YEO
2771908100502.0;Чернила ОСР 156 МL  для картриджей EPS принтеров L800, 1kg;;1560.0;22.02;;;;;7YEO
2771908100205.0;Чернила ОСР 200 BKP для картриджей EPS T0599 (R2400), 1 kg;;3570.0;45.07;;;;;7YEO
2771908100212.0;Чернила ОСР 200 CP для картриджей EPS T0592 (R2400), 1 kg;;5920.0;74.95;;;;;7YEO
2771908100236.0;Чернила ОСР 200 MP для картриджей EPS T0593 (R2400), 1 kg;;5920.0;74.95;;;;;7YEO
2771908100229.0;Чернила ОСР 200 YP для картриджей EPS T0594 (R2400), 1 kg;;5920.0;74.95;;;;;7YEO
2771908100250.0;Чернила ОСР 201 BKP для картриджей EPS T0597 (R2400), 1 kg;;3870.0;48.74;;;;;7YEO
2771908100267.0;Чернила ОСР 201 CPL для картриджей EPS T0595 (R2400), 1 kg;;4770.0;60.28;;;;;7YEO
2771908100274.0;Чернила ОСР 201 MPL для картриджей EPS T0596 (R2400), 1 kg;;4770.0;60.28;;;;;7YEO
2771908100243.0;Чернила ОСР 202 BKP для картриджей EPS T0591 (R2400), 1 kg;;4150.0;52.42;;;;;7YEO
2771908100199.0;Чернила ОСР 203 BKP для картриджей EPS T0598 (R2400), 1 kg;;5060.0;63.94;;;;;7YEO
2771908100519.0;Чернила ОСР 209 VIVID MP для картриджей EPS 11880, 1kg;;8210.0;104.02;;;;;7YEO
2771908100526.0;Чернила ОСР 210 VIVID MPL для картриджей EPS 11880, 1kg;;4670.0;53.72;;;;;7YEO
2771908100410.0;Чернила ОСР 61 Y для картриджей EPS R200, 1 kg;;1970.0;24.9;;;;;7YEO
2771908100397.0;Чернила ОСР 72 M для картриджей EPS R200, 1 kg;;1970.0;24.9;;;;;7YEO
2771908100366.0;Чернила ОСР 73 BK для картриджей EPS R200, 1 kg;;3940.0;49.79;;;;;7YEO
2771908100403.0;Чернила ОСР 73 LM для картриджей EPS R200, 1 kg;;1840.0;23.12;;;;;7YEO
2771908100373.0;Чернила ОСР 76 C для картриджей EPS R200, 1 kg;;1970.0;24.9;;;;;7YEO
2771908100380.0;Чернила ОСР 77 LC для картриджей EPS R200, 1 kg;;1840.0;23.12;;;;;7YEO
2771908100014.0;Чернила ОСР EGO для картриджей EPS T0540/T0870 (R800/1800/1900/2000), 1 kg;;4150.0;52.41;;;;;7YEO
;OCP для HP 1 kg;;;;;;;;
2770902151244.0;Комплект чернил OCP для HP #123 (BKP 225, С/M/Y 163), 1 kg x4;;8330.0;109.36;;;;;7YHO
2770902151220.0;Комплект чернил OCP для HP #650/651/662/678 (BKP 249, С/M/Y 149), 1 kg x4;;9980.0;131.06;;;;;7YHO
2770902151237.0;Комплект чернил OCP для HP #650/651/662/678 SAFE SET (BKP 35, С/M/Y 149), 1 kg x4;;7700.0;101.1;;;;;7YHO
2770902151251.0;Комплект чернил OCP для HP #652/664/680  (BKP 225, С/M/Y 162), 1 kg x4;;8330.0;109.36;;;;;7YHO
2770902151275.0;Комплект чернил OCP для HP #903/903XL/907 (BKP/СP/MP/YP 227), 1 kg x 4;;18360.0;241.18;;;;;7YHO
2770902150964.0;Комплект чернил OCP для HP #934/935 (BKP/СP/MP/YP 225), 1 kg x 4;;23610.0;310.07;;;;;7YHO
2770902151213.0;Комплект чернил OCP для HP #953 (BKP 249/СP/MP/YP 226), 1 kg x 4;;19290.0;270.81;;;;;7YHO
2770902150575.0;Комплект чернил ОСР для HP 61/122/301/502 (BKP249,C/M/Y300), 1 kg x4;;9560.0;125.47;;;;;7YHO
2770902150568.0;Комплект чернил ОСР для HP 61/122/301/502 (BKP89,C/M/Y300), 1 kg x4;;8830.0;115.96;;;;;7YHO
2770902151268.0;Комплект чернил ОСР для HP 61/122/301/502 SAFE SET (BK 35,C/M/Y300), 1 kg x4;;7280.0;95.53;;;;;7YHO
2770902150889.0;Комплект чернил ОСР для HP 72 (BKP9142, BK9155, BK9154, C/M/Y9142), 1kg x6;;28250.0;371.24;;;;;7YHO
2770902151077.0;Комплект чернил ОСР для HP 920/178 (BKP89,C143, M143, Y143), 1 kg x4;;9540.0;125.25;;;;;7YHO
2770902150612.0;Комплект чернил ОСР для HP K5300 (BKP249,C/M/Y126), 1 kg x4;;10260.0;134.78;;;;;7YHO
2770902151060.0;Комплект чернил ОСР для HP NANO-принтеров b010b, b110b (BK35,C143, M143, Y143), 1 kg x4;;7980.0;104.83;;;;;7YHO
2770902150636.0;Комплект чернил ОСР для HP №10/№11(BKP41,C/M/Y 120), 1kg x4;;9700.0;127.37;;;;;7YHO
2770902150810.0;Комплект чернил ОСР для HP Pro X451 (BKP/CP/MP/YP260), 1 kg x4;;25190.0;331.05;;;;;7YHO
2770902151121.0;Комплект чернил ОСР для HP T7100, T7200  #761 (BKP9151, BK9152/9163, C/M/Y9151), 1 kg x6;;20240.0;265.92;;;;;7YHO
2770902150698.0;Комплект чернил ОСР для HP Viv (BK90,C/M/Y93,ML/CL94), 1 kg x6;;12190.0;160.14;;;;;7YHO
2770902150667.0;Комплект чернил ОСР для HP Viv 178 (BKP249,BK143,C/M/Y143), 1 kg x5;;11970.0;157.31;;;;;7YHO
2770902150650.0;Комплект чернил ОСР для HP Viv 178 + RSL (BKP249,BK143,C/M/Y143, RSL100), 1 kg x6;;12460.0;163.54;;;;;7YHO
2770902150674.0;Комплект чернил ОСР для HP Viv 920 (BKP249,C143, M143, Y143), 1 kg x4;;10260.0;134.78;;;;;7YHO
2770902150681.0;Комплект чернил ОСР для HP Viv 920 + RSL (BKP249,C143, M143, Y143, RSL), 1 kg x5;;10740.0;141.01;;;;;7YHO
2770902150643.0;Комплект чернил ОСР для HP Viv+RSL (BK90,C/M/Y93,ML/CL94,RSL), 1 kg x7;;12670.0;166.38;;;;;7YHO
2770902150827.0;Комплект чернил ОСР для HP#655 (BKP249,C/M/Y343), 1 kg x4;;11360.0;149.12;;;;;7YHO
2770902151053.0;Комплект чернил ОСР для HP#655 + RSL (BKP249,C/M/Y343, RSL), 1 kg x5;;11830.0;155.35;;;;;7YHO
2770902150896.0;Комплект чернил ОСР для HP#655 SAFE SET(BK35,C/M/Y343), 1 kg x4;;9080.0;119.18;;;;;7YHO
2770902151046.0;Комплект чернил ОСР для HP#940 (BKP/CP/MP/YP 272), 1 kg x4;;26860.0;352.75;;;;;7YHO
2770902151039.0;Комплект чернил ОСР для HP#940 SAFE SET (BK35,C/M/Y126), 1 kg x4;;7980.0;104.83;;;;;7YHO
2770902150728.0;Комплект чернил ОСР для HP#950/951 (BKP/CP/MP/YP280), 1 kg x4;;20700.0;271.77;;;;;7YHO
2770902151022.0;Комплект чернил ОСР для HP27/56,28/57 (BKP249,C/M/Y93), 1 kg x4;;10520.0;138.17;;;;;7YHO
2770902150537.0;Комплект чернил ОСР для HP27/56,28/57 (BKP249,C760,M758,Y752), 1 kg x4;;10340.0;135.76;;;;;7YHO
2771512100103.0;Чернила ОСР 120 C  для картриджей HP#11,13,12,82, 1 kg;;2080.0;26.2;;;;;7YHO
2771512100288.0;Чернила ОСР 120 M  для картриджей HP#11,13,12,82, 1 kg;;2080.0;26.2;;;;;7YHO
2771512100271.0;Чернила ОСР 120 Y  для картриджей HP#11,13,12,82, 1kg;;2080.0;26.2;;;;;7YHO
2771512100295.0;Чернила ОСР 126 C для картриджей HP#18,88, 1 кg;;2080.0;26.2;;;;;7YHO
2771512100080.0;Чернила ОСР 126 M для картриджей HP#18,88, 1 kg;;2080.0;26.2;;;;;7YHO
2771512100301.0;Чернила ОСР 126 Y для картриджей HP#18,88, 1 kg;;2080.0;26.2;;;;;7YHO
2771512100042.0;Чернила ОСР 143 C  для картриджей HP#121,178, 1 kg;;2080.0;26.2;;;;;7YHO
2771512100059.0;Чернила ОСР 143 M  для картриджей HP#121,178, 1 kg;;2080.0;26.2;;;;;7YHO
2771512100066.0;Чернила ОСР 143 Y  для картриджей HP#121,178, 1 kg;;2080.0;26.2;;;;;7YHO
2771512100073.0;Чернила ОСР 143 ВК  для картриджей HP #178, 1 kg;;1800.0;22.54;;;;;7YHO
2771512100844.0;Чернила ОСР 149 C  для картриджей HP#650, 651, 662, 678 , 1 kg;;1980.0;24.97;;;;;7YHO
2771512100851.0;Чернила ОСР 149 M для картриджей HP#650, 651, 662, 678 , 1 kg;;1980.0;24.97;;;;;7YHO
2771512100868.0;Чернила ОСР 149 Y для картриджей HP#650, 651, 662, 678 , 1 kg;;1980.0;24.97;;;;;7YHO
2771512100783.0;Чернила ОСР 162 C  для картриджей HP# 652, 664, 680, Cyan, 1 kg;;1980.0;24.97;;;;;7YHO
2771512100790.0;Чернила ОСР 162 M  для картриджей HP# 652, 664, 680, Magenta, 1 kg;;1980.0;24.97;;;;;7YHO
2771512100806.0;Чернила ОСР 162 Y  для картриджей HP# 652, 664, 680, Yellow, 1 kg;;1980.0;24.97;;;;;7YHO
2771512100813.0;Чернила ОСР 163 C  для картриджей HP#123, 1 kg;;1980.0;24.97;;;;;7YHO
2771512100820.0;Чернила ОСР 163 M для картриджей HP#123, 1 kg;;1980.0;24.97;;;;;7YHO
